lemma	tag
"ahli sunah"	noun
"ahli sunah waljamaah"	noun
"ahli tafsir"	noun
"ahli tarekat"	noun
"ahli tarikh"	noun
"ahli tasawuf"	noun
"ahli tasawuf"	noun
"ahli Taurat"	noun
"ahli Taurat"	noun
"ahli tetas"	noun
"ahli waris"	noun
"air abu"	noun
"air adas"	noun
"air adhesif"	noun
"air adsorpsi"	noun
"air agresif"	noun
"air aki"	noun
"air alam"	noun
"air alas"	noun
"air ampuh"	noun
"air anggur"	noun
"air api"	noun
"air aromatik"	noun
"air artesis"	noun
"air arwah"	noun
"air asin"	noun
"air atar"	noun
"air awamineral"	noun
"air bad"	noun
"air bah"	noun
"air bakat"	noun
"air balas"	noun
"air bawaan"	noun
"air bawah permukaan"	noun
"air bawah tanah"	noun
"air beku"	noun
"air belanda"	noun
"air bena"	noun
"air berat"	noun
"air bergerak"	noun
"air bersih"	noun
"air biru"	noun
"air boron"	noun
"air celah"	noun
"air dadih"	noun
"air diam"	noun
"air doa"	noun
"air emas"	noun
"air emas"	noun
"air fosil"	noun
"air garam"	noun
"air gravitasi"	noun
"air gula"	noun
"air hidroskopik"	noun
"air hidung"	noun
"air irigasi"	noun
"air jenuh"	noun
"air jeruk"	noun
"air juvenil"	noun
"air kandang"	noun
"air kapur"	noun
"air keling"	noun
"air kemih"	noun
"air kencing"	noun
"air keras"	noun
"air ketuban"	noun
"air ki"	noun
"air kisi"	noun
"air koloh-koloh"	noun
"air kubangan"	noun
"air kujumas"	noun
"air kumbahan"	noun
"air landa"	noun
"air lata"	noun
"air laut"	noun
"air laut saniter"	noun
"air leding"	noun
"air limbah"	noun
"air liur"	noun
"air liur"	noun
"air ludah"	noun
"air lunak"	noun
"air magma"	noun
"air mandi"	noun
"air mandi"	noun
"air masin"	noun
"air mata"	noun
"air mata duyung"	noun
"air mati"	noun
"air maulhayat"	noun
"air mawar"	noun
"air mawar"	noun
"air merta jiwa"	noun
"air mineral"	noun
"air minum"	noun
"air najis"	noun
"air oligotrofik"	noun
"air pasang"	noun
"air payau"	noun
"air payau"	noun
"air penyeimbang beban"	noun
"air perak"	noun
"air perbani"	noun
"air permen"	noun
"air permukaan"	noun
"air purwa"	noun
"air raksa"	noun
"air rasa"	noun
"air ruban"	noun
"air sadah"	noun
"air sebak"	noun
"air selera"	noun
"air sembahyang"	noun
"air sembilan"	noun
"air seni"	noun
"air senyawa"	noun
"air serani"	noun
"air setaman"	noun
"air soda"	noun
"air suci"	noun
"air suling"	noun
"air suri"	noun
"air surut"	noun
"air susu"	noun
"air susu"	noun
"air susu jolong"	noun
"air susu pengganti"	noun
"air talkin"	noun
"air tanah"	noun
"air tanah bebas"	noun
"air tanah lapisan atas"	noun
"air tanah limpasan hujan"	noun
"air tanah tetap"	noun
"air tanih"	noun
"air tawar"	noun
"air tawar"	noun
"air teh"	noun
"air tenang"	noun
"air tepung tawar"	noun
"air terikat"	noun
"air terjun"	noun
"air tersedia"	noun
"air tersekap"	noun
"air tersenyawa"	noun
"air timah"	noun
"air timpas"	noun
"air tolak bala"	noun
"air tolak bara"	noun
"air tuban"	noun
"air utama jiwa"	noun
"air wangi"	noun
"air wudu"	noun
"akad kredit"	noun
"akad nikah"	noun
"akal buaya"	noun
"akal budi"	noun
"akal bulus"	noun
"akal dua jengkal"	noun
"akal geladak"	noun
"akal kancil"	noun
"akal keling"	noun
"akal laba-laba"	noun
"akal melintas"	noun
"akal sejengkal"	noun
"akal tiga jengkal"	noun
"akal ubi"	noun
"akan tetapi"	noun
"akar -- hutan"	verb
"akar adventisius"	noun
"akar apung"	noun
"akar bahar"	noun
"akar batang"	noun
"akar batu"	noun
"akar belit"	noun
"akar beluru"	noun
"akar bilangan"	noun
"akar bulu"	noun
"akar cabang"	noun
"akar dagun"	noun
"akar embun"	noun
"akar gambir"	noun
"akar gantung"	noun
"akar gerit-gerit"	noun
"akar gigi"	noun
"akar isap"	noun
"akar jangkar"	noun
"akar kait-kait"	noun
"akar kambing-kambing"	noun
"akar kata"	noun
"akar kemenyan"	noun
"akar kerayun"	noun
"akar kijil"	noun
"akar kuayah"	noun
"akar kucing"	noun
"akar kuning"	noun
"akar larak"	noun
"akar layak"	noun
"akar lekat"	noun
"akar lembaga"	noun
"akar liar"	noun
"akar lingkar"	noun
"akar lupang"	noun
"akar lupuk"	noun
"akar lutut"	noun
"akar melata"	noun
"akar melata"	noun
"akar melibat"	noun
"akar melilit"	noun
"akar mempelas"	noun
"akar mempelas hari betina"	noun
"akar napas"	noun
"akar pahit"	noun
"akar parsi"	noun
"akar primer"	noun
"akar puntianak"	noun
"akar pusat"	noun
"akar putat"	noun
"akar rambut"	noun
"akar rempelas"	noun
"akar samping"	noun
"akar sarikan"	noun
"akar saut"	noun
"akar senduduk"	noun
"akar sentagi"	noun
"akar sepulih"	noun
"akar serabut"	noun
"akar serapat"	noun
"akar serau"	noun
"akar serumat"	noun
"akar seruntun"	noun
"akar sulung"	noun
"akar susu"	noun
"akar tempelas"	noun
"akar teriba"	noun
"akar tikus"	noun
"akar tinggal"	noun
"akar tombak"	noun
"akar tuba"	noun
"akar tunggang"	noun
"akar tunjang"	noun
"akar udara"	noun
"akar umbi"	noun
"akar wangi"	noun
"akar yang-yang"	noun
"akhir kata"	noun
"akhir klimaks"	noun
"akhir larva"	noun
"akhir minggu"	noun
"akhir pekan"	noun
"akhir zaman"	noun
"akibat hukum"	noun
"akrobat hukum"	noun
"akrobat politik"	noun
"akrobat politik"	noun
"aksara Arab"	noun
"aksara Aramea"	noun
"aksara Brahmi"	noun
"aksara Dewanagari"	noun
"aksara fonemis"	noun
"aksara fonetis"	noun
"aksara Grantha"	noun
"aksara hieroglif"	noun
"aksara Jawa"	noun
"aksara Jawi"	noun
"aksara Kawi"	noun
"aksara Latin"	noun
"aksara morfemis"	noun
"aksara Pallawa"	noun
"aksara pegon"	noun
"aksara silabis"	noun
"aksara Sunda"	noun
"aksi militer"	noun
"aksi polisional"	noun
"aksi polisional"	noun
"akta autentik"	noun
"akta mengajar"	noun
"akta mengajar dua"	noun
"akta mengajar empat"	noun
"akta mengajar lima"	noun
"akta mengajar satu"	noun
"akta mengajar tiga"	noun
"akta pendirian"	noun
"aktiva lancar"	noun
"aktiva modal"	noun
"aktiva takberwujud"	noun
"aktiva tetap"	noun
"aktivitas kebudayaan"	noun
"aktor intelektual"	noun
"aktor karakter"	noun
"aktor manajer"	noun
"aktor pembantu"	noun
"aktor pratean"	noun
"akun biaya"	noun
"akun defisit"	noun
"akun harta"	noun
"akun jaminan"	noun
"akun kekurangan"	noun
"akun kepemilikan"	noun
"akun keuangan"	noun
"akun laba rugi"	noun
"akun plus minus"	noun
"akuntan publik"	noun
"akuntan umum"	noun
"ala kadarnya"	other
"alam akhirat"	noun
"alam arwah"	noun
"alam astral"	noun
"alam baka"	noun
"alam barzakh"	noun
"alam besar"	noun
"alam gaib"	noun
"alam kabir"	noun
"alam kelanggengan"	noun
"alam kubur"	noun
"alam malakut"	noun
"alam misal"	noun
"alam nabati"	noun
"alam pikiran"	noun
"alam rahim"	noun
"alam sagir"	noun
"alam samar"	noun
"alam semesta"	noun
"alas baju"	noun
"alas bunga"	noun
"alas cawan"	noun
"alas dalam"	noun
"alas gurun"	noun
"alas kaki"	noun
"alas kaki"	noun
"alas kata"	noun
"alas kubur"	noun
"alas lantai"	noun
"alas leher"	noun
"alas meja"	noun
"alas perut"	noun
"alas peti"	noun
"alas rumah"	noun
"alas talkin"	noun
"alas tempat tidur"	noun
"alas tidur"	noun
"alas tidur"	noun
"alas tilam"	noun
"alat angkut"	noun
"alat baca cetak"	noun
"alat baca mikro"	noun
"alat bantu dengar"	noun
"alat bantu pandang dengar"	noun
"alat bantu pengajaran"	noun
"alat bibliografis"	noun
"alat bicara"	noun
"alat bidik"	noun
"alat cetak jauh"	noun
"alat cukur listrik"	noun
"alat kecantikan"	noun
"alat kejut listrik"	noun
"alat kekuasaan"	noun
"alat kelamin"	noun
"alat keluarga berencana"	noun
"alat komunikasi"	noun
"alat konsentrasi"	noun
"alat kontrasepsi"	noun
"alat listrik"	noun
"alat masukan"	noun
"alat musik gesek"	noun
"alat musik petik"	noun
"alat musik pukul"	noun
"alat musik tiup"	noun
"alat musuh"	noun
"alat negara"	noun
"alat pameran"	noun
"alat pandang"	noun
"alat pandang dengar"	noun
"alat pelajaran"	noun
"alat pemanas"	noun
"alat pembayaran luar negeri"	noun
"alat pembersih"	noun
"alat pembuktian"	noun
"alat pemecah kulit gabah"	noun
"alat pemerintahan"	noun
"alat pencegah kehamilan"	noun
"alat pencernaan"	noun
"alat pencium"	noun
"alat pendengar"	noun
"alat pendengar"	noun
"alat pendingin"	noun
"alat pendobrak"	noun
"alat pendobrak"	noun
"alat penerangan"	noun
"alat penerangan"	noun
"alat pengecambah"	noun
"alat pengeras suara"	noun
"alat pengering berlanjut"	noun
"alat penghidu"	noun
"alat pengisap"	noun
"alat pengisap"	noun
"alat pengisap oral"	noun
"alat penglihatan"	noun
"alat pengontrol"	noun
"alat pengontrol"	noun
"alat pengumpul kerang"	noun
"alat pengumpul rumput laut"	noun
"alat penyedot"	noun
"alat penyeduh kopi"	noun
"alat penyekat"	noun
"alat penyosoh"	noun
"alat peraga"	noun
"alat perang"	noun
"alat perasa"	noun
"alat perekam"	noun
"alat perekam"	noun
"alat pernapasan"	noun
"alat perontok gabah"	noun
"alat perum"	noun
"alat potret"	noun
"alat putar cepat"	noun
"alat raja"	noun
"alat rajah"	noun
"alat reproduksi"	noun
"alat senjata"	noun
"alat suntik"	noun
"alat tani"	noun
"alat tenun"	noun
"alat tetas"	noun
"alat ucap"	noun
"alat uji"	noun
"alat ukur"	noun
"alat ukur hujan"	noun
"alat ukur hujan otomatis"	noun
"alat vital"	noun
"alat vital"	noun
"alih bahasa"	verb
"alih bentuk"	verb
"alih generasi"	verb
"alih huruf"	verb
"alih kebudayaan"	verb
"alih kecek"	verb
"alih kedudukan"	verb
"alih kode"	verb
"alih profesi"	verb
"alih ragam"	noun
"alih tanam"	verb
"alih teknologi"	verb
"alih wilayah"	verb
"aliran alam"	noun
"aliran bawah"	noun
"aliran bergolak"	noun
"aliran berlapis"	noun
"aliran getah"	noun
"aliran hilir"	noun
"aliran hulu"	noun
"aliran kemarau"	noun
"aliran kepercayaan"	noun
"aliran permukaan"	noun
"aliran sisa"	noun
"aliran tahunan"	noun
"aliran timbul kembali"	noun
"almanak dinding"	noun
"almanak meja"	noun
"almanak pelayaran"	noun
"alokasi biaya"	noun
"alokasi dana pemerintah"	noun
"alur air"	noun
"alur balik"	noun
"alur bawahan"	noun
"alur bibir"	noun
"alur cahaya"	noun
"alur cerita"	noun
"alur erat"	noun
"alur hidung"	noun
"alur kapal"	noun
"alur kerongkongan"	noun
"alur ketat"	noun
"alur leher"	noun
"alur longgar"	noun
"alur menanjak"	noun
"alur sungai"	noun
"alur tengkuk"	noun
"aluran adat"	noun
"aluran air"	noun
"amar dan nahi"	noun
"amar makruf nahi mungkar"	noun
"amar raja"	noun
"ambang batas"	noun
"ambang pintu"	noun
"ambang trofik"	verb
"ambil langkah seribu"	verb
"ambil marah"	verb
"ambilan doli"	noun
"ambilan sudut"	noun
"amil zakat"	noun
"anak Adam"	noun
"anak Agung"	noun
"anak air"	noun
"anak ajaib"	noun
"anak alang"	noun
"anak Allah"	noun
"anak ampang"	noun
"anak andaman"	noun
"anak angin"	noun
"anak angkat"	noun
"anak asuh"	noun
"anak baju"	noun
"anak bala"	noun
"anak balam"	noun
"anak bangsa"	noun
"anak bangsawan"	noun
"anak bangsawan"	noun
"anak bapak"	noun
"anak batu"	noun
"anak batu tulis"	noun
"anak bawang"	noun
"anak bawang"	noun
"anak bedil"	noun
"anak berbakat"	noun
"anak berkundang"	noun
"anak bersagar"	noun
"anak bersagar"	noun
"anak bilik"	noun
"anak bini"	noun
"anak buah"	noun
"anak bukit"	noun
"anak buncit"	noun
"anak bungsu"	noun
"anak busur"	noun
"anak buyung"	noun
"anak buyung"	noun
"anak cabang"	noun
"anak cabang"	noun
"anak cobek"	noun
"anak cucu"	noun
"anak cucu"	noun
"anak dabus"	noun
"anak dacin"	noun
"anak dagang"	noun
"anak dapat"	noun
"anak dara"	noun
"anak dara"	noun
"anak Daud"	noun
"anak daun"	noun
"anak dayung"	noun
"anak didik"	noun
"anak didik"	noun
"anak gadis"	noun
"anak gahara"	noun
"anak gedongan"	noun
"anak geladak"	noun
"anak genta"	noun
"anak ginjal"	noun
"anak gobek"	noun
"anak gugur"	noun
"anak haram"	noun
"anak hitam"	noun
"anak ibu"	noun
"anak jadah"	noun
"anak jari"	noun
"anak jari"	noun
"anak jawi"	noun
"anak jentera"	noun
"anak judul"	noun
"anak kalimat"	noun
"anak kandung"	noun
"anak kapal"	noun
"anak kembar"	noun
"anak kemenakan"	noun
"anak kencing"	noun
"anak keti"	noun
"anak kolong"	noun
"anak kolong"	noun
"anak komidi"	noun
"anak kuar"	noun
"anak kukut"	noun
"anak kunci"	noun
"anak lidah"	noun
"anak limpa"	noun
"anak liplap"	noun
"anak lombong"	noun
"anak luar nikah"	noun
"anak luar nikah"	noun
"anak lumpang"	noun
"anak mampu didik"	noun
"anak mampu latih"	noun
"anak mampu rawat"	noun
"anak manusia"	noun
"anak mas"	noun
"anak mata"	noun
"anak meja"	noun
"anak mentimun"	noun
"anak muda"	noun
"anak muda"	noun
"anak murid"	noun
"anak nakal"	noun
"anak negara"	noun
"anak negeri"	noun
"anak obat"	noun
"anak orang"	noun
"anak panah"	noun
"anak pandak"	noun
"anak panggung"	noun
"anak panjang"	noun
"anak pelor"	noun
"anak penak"	noun
"anak perahu"	noun
"anak perusahaan"	noun
"anak piara"	noun
"anak piatu"	noun
"anak pinak"	noun
"anak pinak"	noun
"anak pisang"	noun
"anak prasekolah"	noun
"anak pungut"	noun
"anak putih"	noun
"anak ragil"	noun
"anak rambut"	noun
"anak rantau"	noun
"anak ronggeng"	noun
"anak saku"	noun
"anak sanak"	noun
"anak sandiwara"	noun
"anak sapihan"	noun
"anak sasian"	noun
"anak sekolah"	noun
"anak sipil"	noun
"anak sukar"	noun
"anak sulung"	noun
"anak sumbang"	noun
"anak sumbang"	noun
"anak sundal"	noun
"anak sundal"	noun
"anak sunti"	noun
"anak susuan"	noun
"anak susuan"	noun
"anak tangan"	noun
"anak tangga"	noun
"anak tari"	noun
"anak taruhan"	noun
"anak tekak"	noun
"anak timbangan"	noun
"anak tolakan"	noun
"anak tonil"	noun
"anak torak"	noun
"anak tuna"	noun
"anak tunalaras"	noun
"anak tunggal"	noun
"anak uang"	noun
"anak wayang"	noun
"anak yatim"	noun
"anak zadah"	noun
"analisis ayak"	noun
"analisis bahasa"	noun
"analisis data"	noun
"analisis deduktif"	noun
"analisis endapan"	noun
"analisis induktif"	noun
"analisis jabatan"	noun
"analisis kalorimetri"	noun
"analisis kekebalan"	noun
"analisis keramik"	noun
"analisis kimia"	noun
"analisis komponen"	noun
"analisis komponen makna"	noun
"analisis lambung"	noun
"analisis mekanis"	noun
"analisis pasar"	noun
"analisis pekerjaan"	noun
"analisis pendarfluor"	noun
"analisis sistem"	noun
"analisis sistem"	noun
"analisis spektroskop"	noun
"analisis wacana"	noun
"anatomi deskriptif"	noun
"anatomi perbandingan"	noun
"ancang ekstrinsik"	other
"ancang intrinsik"	other
"ancang, ekstrinsik"	other
"ancang, intrinsik"	other
"anemia gizi"	noun
"anggaran belanja"	noun
"anggaran belanja berimbang"	noun
"anggaran dasar"	noun
"anggaran induk"	noun
"anggaran keluarga"	noun
"anggaran pendapatan"	noun
"anggaran rumah tangga"	noun
"anggaran sulapan"	noun
"anggota biasa"	noun
"anggota delegasi"	noun
"anggota gerak"	noun
"anggota honorer"	noun
"anggota kalimat"	noun
"anggota kehormatan"	noun
"anggota penderma"	noun
"anggota pengurus"	noun
"anggota tentara"	noun
"anggota tersiar"	noun
"angin alobar"	noun
"angin anabatik"	noun
"angin atas"	noun
"angin badai"	noun
"angin barat"	noun
"angin barat khatulistiwa"	noun
"angin beralih"	noun
"angin besar"	noun
"angin bohorok"	noun
"angin buritan"	noun
"angin buritan ekuivalen"	noun
"angin darat"	noun
"angin duduk"	noun
"angin ekor duyung"	noun
"angin fohn"	noun
"angin gending"	noun
"angin gila"	noun
"angin gletser"	noun
"angin gunung"	noun
"angin gunung-gunungan"	noun
"angin haluan"	noun
"angin haluan ekuivalen"	noun
"angin hulu timur"	noun
"angin indera bayu"	noun
"angin jahat"	noun
"angin jatuh"	noun
"angin katabatik"	noun
"angin kelambu menunggal"	noun
"angin kelambu sebelah"	noun
"angin kencang"	noun
"angin kepala"	noun
"angin kumbang"	noun
"angin lalu"	noun
"angin lalu"	noun
"angin lalu"	noun
"angin langkisau"	noun
"angin laut"	noun
"angin lembah"	noun
"angin limbubu"	noun
"angin lokal"	noun
"angin lokal"	noun
"angin membakat"	noun
"angin membujur ekuivalen"	noun
"angin menebing"	noun
"angin menganan"	noun
"angin menumbuk kurung"	noun
"angin musim"	noun
"angin paksa"	noun
"angin palsu"	noun
"angin pancaroba"	noun
"angin pengarak pagi"	noun
"angin permukaan"	noun
"angin pilin"	noun
"angin pusar"	noun
"angin puting beliung"	noun
"angin puyuh"	noun
"angin puyuh"	noun
"angin ribut"	noun
"angin sakal"	noun
"angin salah"	noun
"angin sapu-sapu"	noun
"angin semu"	noun
"angin sendalu"	noun
"angin sepoi-sepoi"	noun
"angin si sapai-sapai"	noun
"angin sorong buritan"	noun
"angin temberang buritan"	noun
"angin tenang"	noun
"angin tenggara"	noun
"angin tenggara mandi"	noun
"angin termal"	noun
"angin tikus"	noun
"angin timba ruang"	noun
"angin timur"	noun
"angin timuran"	noun
"angin topan"	noun
"angin tukus"	noun
"angin tumbuk kurung"	noun
"angin turutan"	noun
"angin umum"	noun
"angin utara"	noun
"angin yahum"	noun
"angina pektoris"	noun
"angka akhir"	noun
"angka Arab"	noun
"angka babak"	noun
"angka barion"	noun
"angka bias"	noun
"angka biasa"	noun
"angka desimal"	noun
"angka dua"	noun
"angka fertilitas"	noun
"angka fertilitas kumulatif"	noun
"angka fertilitas umum"	noun
"angka ganjil"	noun
"angka gasal"	noun
"angka genap"	noun
"angka halaman"	noun
"angka indeks"	noun
"angka kecermatan"	noun
"angka kelahiran"	noun
"angka kematian"	noun
"angka kematian anak-anak"	noun
"angka kematian kasar"	noun
"angka kematian neonatal"	noun
"angka pecahan"	noun
"angka penuh"	noun
"angka reproduksi"	noun
"angka Romawi"	noun
"angka sial"	noun
"angka tanding"	noun
"angka untung"	noun
"angka urut"	noun
"angka utuh"	noun
"angkat berat"	verb
"angkat besi"	verb
"angkat bicara"	verb
"angkat kaki"	verb
"angkat kaki"	verb
"angkat tangan"	verb
"angkat tangan"	verb
"angkat tangan"	verb
"angkat tangan"	verb
"angkat topi"	verb
"angkatan baru"	noun
"angkatan bersenjata"	noun
"angkatan darat"	noun
"angkatan empat puluh lima"	noun
"angkatan empat puluh lima"	noun
"angkatan enam puluh enam"	noun
"angkatan kelima"	noun
"angkatan kerja"	noun
"angkatan laut"	noun
"angkatan muda"	noun
"angkatan muda"	noun
"angkatan negara"	noun
"angkatan penerus"	noun
"angkatan perang"	noun
"angkatan udara"	noun
"anjing air"	noun
"anjing arau"	noun
"anjing belang"	noun
"anjing geladak"	noun
"anjing geladak"	noun
"anjing gembala"	noun
"anjing gila"	noun
"anjing gila"	noun
"anjing hutan"	noun
"anjing kampung"	noun
"anjing laut"	noun
"anjing sabun"	noun
"anjing tanah"	noun
"antena parabola"	noun
"anting jepit"	noun
"anting neraca"	noun
"antisiklon panas"	noun
"antisiklon subtropis"	noun
"antropologi budaya"	noun
"antropologi hukum"	noun
"apa akal"	pronoun
"apa boleh buat"	pronoun
"apa daya"	pronoun
"apa hendak dikata"	pronoun
"apa kabar"	pronoun
"apa kabar"	pronoun
"apa lagi"	pronoun
"apa macam"	pronoun
"apa mau"	pronoun
"apa saja"	pronoun
"apa saja"	pronoun
"aparatur negara"	noun
"aparatur pemerintah"	noun
"apel bendera"	noun
"apel besar"	noun
"apel paripurna"	noun
"apel siaga"	noun
"api lancip"	noun
"api neraka"	noun
"api penyuci"	noun
"api unggun"	noun
"api unggun"	noun
"apitan minyak"	noun
"apitan tebu"	noun
"apotek hidup"	noun
"apung-apung buih"	noun
"ara kelebuk"	noun
"arah ke"	noun
"arah tujuan"	noun
"arak obat"	noun
"arak-arakan obor"	noun
"aral gendala"	noun
"aral melintang"	noun
"aral menggalang"	noun
"aral ru-ang"	noun
"aram temaram"	noun
"arang batok"	noun
"arang batu"	noun
"arang kayu"	noun
"arang lemak"	noun
"arang para"	noun
"arang periuk"	noun
"aras kerdan"	verb
"aras lutut"	adjective
"aras tenaga"	verb
"arau batu"	adjective
"arau hujan panas"	adjective
"aroma susu"	noun
"arsip utuh"	noun
"arteri renalis"	noun
"artikel karet"	noun
"artikulator aktif"	noun
"artikulator pasif"	noun
"artis tamu"	noun
"arus air"	noun
"arus angin barat"	noun
"arus balik"	noun
"arus balik"	noun
"arus barang"	noun
"arus bolak-balik"	noun
"arus dasar"	noun
"arus deras"	noun
"arus ekonomi"	noun
"arus ekuatorial"	noun
"arus horizontal"	noun
"arus informasi"	noun
"arus kas"	noun
"arus khatulistiwa"	noun
"arus kompensasi"	noun
"arus konveksi"	noun
"arus lalu lintas"	noun
"arus laut"	noun
"arus lemah"	noun
"arus listrik"	noun
"arus manusia"	noun
"arus mode"	noun
"arus olakan"	noun
"arus panas"	noun
"arus politik"	noun
"arus revolusi"	noun
"arus searah"	noun
"arus sentakan"	noun
"arus sungai"	noun
"arus sungsang ekuatorial"	noun
"arus transpirasi"	noun
"arus uang"	noun
"arus udara"	noun
"arus zaman"	noun
"asah asih asuh"	noun
"asah terampil"	verb
"asal mula"	noun
"asal usul"	noun
"asal usul"	noun
"asal usul"	noun
"asam alginat"	noun
"asam amino"	noun
"asam amino aromatik"	noun
"asam amino esensial"	noun
"asam arang"	noun
"asam aromatik"	noun
"asam asetat"	noun
"asam asetilsalisilat"	noun
"asam askorbat"	noun
"asam belerang"	noun
"asam benzoat"	noun
"asam bongkrek"	noun
"asam cuka"	noun
"asam deoksiribonukleat"	noun
"asam format"	noun
"asam garam"	noun
"asam glukonat"	noun
"asam hidrosianat"	noun
"asam humus"	noun
"asam indol asetat"	noun
"asam jawa"	noun
"asam karboksilat"	noun
"asam kawak"	noun
"asam keranji"	noun
"asam klorida"	noun
"asam kumbang"	noun
"asam laktat"	noun
"asam lambung"	noun
"asam lemak"	noun
"asam metoroat"	noun
"asam nikotinat"	noun
"asam nitrat"	noun
"asam nukleat"	noun
"asam oleat"	noun
"asam organik"	noun
"asam ribonukleat"	noun
"asam samak"	noun
"asam selong"	noun
"asam sendawa"	noun
"asam sitrat"	noun
"asam suberat"	noun
"asan tak asan"	noun
"asap air"	noun
"asap api"	noun
"asap belerang"	noun
"asap racun"	noun
"asar rendah"	noun
"asar tinggi"	noun
"asas Archimedes"	noun
"asas bilateral"	noun
"asas keadilan"	noun
"asas keturunan"	noun
"asas konkordan"	noun
"asas matrilineal"	noun
"asas patrilineal"	noun
"asas praduga tidak bersalah"	noun
"asas primogenitur"	noun
"asas tempat kelahiran"	noun
"asas tunggal"	noun
"asas ultimogenitur"	noun
"asas unilineal"	noun
"asbes semen"	noun
"asimilasi fonemis"	noun
"asimilasi historis"	noun
"asimilasi identifikasi"	noun
"asimilasi jauh"	noun
"asimilasi kebudayaan"	noun
"asimilasi morfologis"	noun
"asimilasi perkawinan"	noun
"asimilasi politik"	noun
"asimilasi progresif"	noun
"asimilasi regresif"	noun
"asimilasi resiprokal"	noun
"asimilasi sikap"	noun
"asimilasi struktural"	noun
"asisten ahli"	noun
"asisten apoteker"	noun
"asisten deputi"	noun
"asisten deputi"	noun
"asisten dokter"	noun
"asisten dosen"	noun
"asisten peneliti madya"	noun
"asisten peneliti muda"	noun
"asisten superintenden"	noun
"asisten sutradara"	noun
"asisten wedana"	noun
"asosiasi tanah"	noun
"aspal emulsi"	noun
"aspal jalan"	noun
"aspek augmentatif"	noun
"aspek diminutif"	noun
"aspek frekuentatif"	noun
"aspek habituatif"	noun
"aspek imperfektif"	noun
"aspek inkoatif"	noun
"aspek inkompletif"	noun
"aspek inseptif"	noun
"aspek kompletif"	noun
"aspek kontinuatif"	noun
"aspek momentan"	noun
"aspek perfektif"	noun
"aspek permansif"	noun
